Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision,Referee,Descripcion
Talleres,Argentinos,2024-02-01,Libertadores de América,Entrada violenta,66',Sí,Sin falta,Abal,entrada violenta entre Talleres y Argentinos al minuto 66'
Arsenal,Gimnasia,2024-09-05,Nuevo Gasómetro,Gol,10',Sí,Penal,Echenique,gol entre Arsenal y Gimnasia al minuto 10'
Talleres,River Plate,2024-05-02,La Bombonera,Gol,47',Sí,Sin falta,Pitana,gol entre Talleres y River Plate al minuto 47'
Newell's,Estudiantes,2024-10-17,Nuevo Gasómetro,Simulación,65',Sí,Roja,Espinoza,simulación entre Newell's y Estudiantes al minuto 65'
Gimnasia,Platense,2024-10-19,Cilindro,Penal,77',Sí,Amarilla,Rapallini,penal entre Gimnasia y Platense al minuto 77'
Colón,Racing,2024-01-21,Nuevo Gasómetro,Entrada violenta,90',Sí,Roja,Echenique,entrada violenta entre Colón y Racing al minuto 90'
Vélez,Talleres,2024-08-12,Libertadores de América,Falta,76',Sí,Penal,Tello,falta entre Vélez y Talleres al minuto 76'
Independiente,Vélez,2024-02-02,Nuevo Gasómetro,Sujeción,0',Sí,Tiro libre,Merlos,sujeción entre Independiente y Vélez al minuto 0'
Platense,Estudiantes,2024-11-12,Libertadores de América,Entrada violenta,43',Sí,No gol,Abal,entrada violenta entre Platense y Estudiantes al minuto 43'
Sarmiento,Vélez,2024-07-26,Monumental,Offside,89',Sí,Sin falta,Tello,offside entre Sarmiento y Vélez al minuto 89'
Banfield,Racing,2024-04-26,Nuevo Gasómetro,Offside,4',Sí,Tiro libre,Rapallini,offside entre Banfield y Racing al minuto 4'
Talleres,Sarmiento,2024-08-13,Monumental,Mano,15',Sí,Roja,Pitana,mano entre Talleres y Sarmiento al minuto 15'
Newell's,Independiente,2024-05-04,Monumental,Simulación,42',Sí,Amarilla,Loustau,simulación entre Newell's y Independiente al minuto 42'
Rosario Central,Huracán,2024-05-04,La Bombonera,Penal,5',Sí,No gol,Pitana,penal entre Rosario Central y Huracán al minuto 5'
Huracán,Boca Juniors,2024-01-13,Cilindro,Mano,87',Sí,Roja,Dovalo,mano entre Huracán y Boca Juniors al minuto 87'
Newell's,Argentinos,2024-09-03,Nuevo Gasómetro,Entrada violenta,29',Sí,Gol,Pitana,entrada violenta entre Newell's y Argentinos al minuto 29'
Newell's,Colón,2024-06-26,Monumental,Falta,29',Sí,Sin falta,Loustau,falta entre Newell's y Colón al minuto 29'
Sarmiento,Godoy Cruz,2024-01-20,Monumental,Entrada violenta,9',Sí,Tiro libre,Echenique,entrada violenta entre Sarmiento y Godoy Cruz al minuto 9'
River Plate,Arsenal,2024-02-13,La Bombonera,Mano,36',Sí,No gol,Dovalo,mano entre River Plate y Arsenal al minuto 36'
Talleres,Huracán,2024-07-17,Nuevo Gasómetro,Simulación,44',Sí,Sin falta,Echenique,simulación entre Talleres y Huracán al minuto 44'
Racing,Newell's,2024-08-05,La Bombonera,Córner,70',Sí,Gol,Tello,córner entre Racing y Newell's al minuto 70'
Boca Juniors,Sarmiento,2024-08-05,La Bombonera,Offside,32',Sí,No gol,Rapallini,offside entre Boca Juniors y Sarmiento al minuto 32'
Godoy Cruz,Independiente,2024-11-19,Cilindro,Mano,56',Sí,Penal,Baliño,mano entre Godoy Cruz y Independiente al minuto 56'
Godoy Cruz,Estudiantes,2024-02-27,Nuevo Gasómetro,Gol,27',Sí,Roja,Baliño,gol entre Godoy Cruz y Estudiantes al minuto 27'
Rosario Central,Colón,2024-12-24,Libertadores de América,Gol,26',Sí,No gol,Tello,gol entre Rosario Central y Colón al minuto 26'
Gimnasia,Rosario Central,2024-10-27,La Bombonera,Córner,80',Sí,Tiro libre,Rapallini,córner entre Gimnasia y Rosario Central al minuto 80'
Rosario Central,Argentinos,2024-04-28,La Bombonera,Offside,77',Sí,Tiro libre,Rapallini,offside entre Rosario Central y Argentinos al minuto 77'
Newell's,Rosario Central,2024-07-27,Monumental,Mano,34',Sí,Gol,Rapallini,mano entre Newell's y Rosario Central al minuto 34'
Vélez,Gimnasia,2024-02-23,La Bombonera,Córner,17',Sí,No gol,Echenique,córner entre Vélez y Gimnasia al minuto 17'
Rosario Central,Boca Juniors,2024-03-20,La Bombonera,Entrada violenta,21',Sí,Penal,Echenique,entrada violenta entre Rosario Central y Boca Juniors al minuto 21'
Huracán,Racing,2024-01-17,Nuevo Gasómetro,Gol,71',Sí,Roja,Loustau,gol entre Huracán y Racing al minuto 71'
Argentinos,Banfield,2024-09-02,Monumental,Sujeción,62',Sí,Tiro libre,Merlos,sujeción entre Argentinos y Banfield al minuto 62'
Godoy Cruz,Arsenal,2024-09-20,Monumental,Falta,41',Sí,Roja,Rapallini,falta entre Godoy Cruz y Arsenal al minuto 41'
Banfield,Vélez,2024-03-07,Monumental,Simulación,54',Sí,Gol,Pitana,simulación entre Banfield y Vélez al minuto 54'
Gimnasia,Platense,2024-02-19,Libertadores de América,Falta,45',Sí,Roja,Loustau,falta entre Gimnasia y Platense al minuto 45'
Argentinos,Independiente,2024-11-23,Nuevo Gasómetro,Entrada violenta,13',Sí,Penal,Merlos,entrada violenta entre Argentinos y Independiente al minuto 13'
Talleres,Racing,2024-02-15,Cilindro,Offside,14',Sí,Gol,Echenique,offside entre Talleres y Racing al minuto 14'
Colón,San Lorenzo,2024-03-07,Cilindro,Falta,34',Sí,No gol,Tello,falta entre Colón y San Lorenzo al minuto 34'
River Plate,Platense,2024-01-03,La Bombonera,Offside,84',Sí,Penal,Tello,offside entre River Plate y Platense al minuto 84'
Godoy Cruz,Huracán,2024-03-12,Libertadores de América,Gol,81',Sí,Tiro libre,Espinoza,gol entre Godoy Cruz y Huracán al minuto 81'
Lanús,River Plate,2024-12-28,La Bombonera,Codazo,31',Sí,Gol,Dovalo,codazo entre Lanús y River Plate al minuto 31'
Rosario Central,Vélez,2024-11-27,Monumental,Offside,10',Sí,Penal,Pitana,offside entre Rosario Central y Vélez al minuto 10'
Huracán,Lanús,2024-06-11,Monumental,Sujeción,42',Sí,Sin falta,Rapallini,sujeción entre Huracán y Lanús al minuto 42'
Talleres,Gimnasia,2024-02-04,La Bombonera,Penal,68',Sí,Tiro libre,Echenique,penal entre Talleres y Gimnasia al minuto 68'
Gimnasia,Arsenal,2024-06-08,Nuevo Gasómetro,Simulación,75',Sí,Tiro libre,Espinoza,simulación entre Gimnasia y Arsenal al minuto 75'
Platense,Godoy Cruz,2024-04-08,La Bombonera,Falta,5',Sí,Penal,Pitana,falta entre Platense y Godoy Cruz al minuto 5'
Newell's,Vélez,2024-09-04,Nuevo Gasómetro,Sujeción,71',Sí,Amarilla,Espinoza,sujeción entre Newell's y Vélez al minuto 71'
River Plate,Banfield,2024-06-05,Nuevo Gasómetro,Gol,47',Sí,Gol,Dovalo,gol entre River Plate y Banfield al minuto 47'
Gimnasia,Banfield,2024-04-25,Nuevo Gasómetro,Sujeción,39',Sí,Tiro libre,Merlos,sujeción entre Gimnasia y Banfield al minuto 39'
Colón,Gimnasia,2024-07-14,Nuevo Gasómetro,Mano,9',Sí,Penal,Rapallini,mano entre Colón y Gimnasia al minuto 9'
Godoy Cruz,Lanús,2024-05-11,Libertadores de América,Mano,36',Sí,Gol,Merlos,mano entre Godoy Cruz y Lanús al minuto 36'
Boca Juniors,Sarmiento,2024-07-13,La Bombonera,Gol,7',Sí,Penal,Loustau,gol entre Boca Juniors y Sarmiento al minuto 7'
Huracán,Banfield,2024-11-15,Monumental,Penal,41',Sí,Penal,Baliño,penal entre Huracán y Banfield al minuto 41'
Independiente,Vélez,2024-09-17,Nuevo Gasómetro,Simulación,15',Sí,Sin falta,Echenique,simulación entre Independiente y Vélez al minuto 15'
Estudiantes,Boca Juniors,2024-07-20,La Bombonera,Gol,26',Sí,Penal,Echenique,gol entre Estudiantes y Boca Juniors al minuto 26'
Estudiantes,Banfield,2024-11-22,La Bombonera,Sujeción,41',Sí,Roja,Loustau,sujeción entre Estudiantes y Banfield al minuto 41'
Gimnasia,Racing,2024-11-03,La Bombonera,Gol,66',Sí,Sin falta,Merlos,gol entre Gimnasia y Racing al minuto 66'
Newell's,Arsenal,2024-01-04,Nuevo Gasómetro,Sujeción,35',Sí,Roja,Dovalo,sujeción entre Newell's y Arsenal al minuto 35'
Huracán,Platense,2024-11-28,La Bombonera,Sujeción,46',Sí,No gol,Pitana,sujeción entre Huracán y Platense al minuto 46'
Platense,Argentinos,2024-11-14,Cilindro,Gol,60',Sí,Amarilla,Tello,gol entre Platense y Argentinos al minuto 60'
Banfield,San Lorenzo,2024-05-10,Nuevo Gasómetro,Sujeción,11',Sí,Penal,Pitana,sujeción entre Banfield y San Lorenzo al minuto 11'
Independiente,Arsenal,2024-08-01,Monumental,Falta,64',Sí,Amarilla,Rapallini,falta entre Independiente y Arsenal al minuto 64'
Rosario Central,Argentinos,2024-09-15,Monumental,Falta,28',Sí,Gol,Abal,falta entre Rosario Central y Argentinos al minuto 28'
Independiente,Godoy Cruz,2024-04-04,Nuevo Gasómetro,Simulación,26',Sí,Penal,Loustau,simulación entre Independiente y Godoy Cruz al minuto 26'
Lanús,Estudiantes,2024-07-19,Monumental,Mano,0',Sí,Amarilla,Dovalo,mano entre Lanús y Estudiantes al minuto 0'
Argentinos,Sarmiento,2024-09-04,La Bombonera,Entrada violenta,40',Sí,Sin falta,Dovalo,entrada violenta entre Argentinos y Sarmiento al minuto 40'
Newell's,Estudiantes,2024-03-07,Monumental,Offside,82',Sí,No gol,Espinoza,offside entre Newell's y Estudiantes al minuto 82'
Arsenal,Boca Juniors,2024-04-15,Monumental,Sujeción,43',Sí,Roja,Abal,sujeción entre Arsenal y Boca Juniors al minuto 43'
Huracán,Argentinos,2024-01-02,Monumental,Mano,51',Sí,Gol,Tello,mano entre Huracán y Argentinos al minuto 51'
Platense,Gimnasia,2024-04-09,La Bombonera,Codazo,0',Sí,Sin falta,Merlos,codazo entre Platense y Gimnasia al minuto 0'
Independiente,San Lorenzo,2024-11-05,Monumental,Mano,54',Sí,Roja,Tello,mano entre Independiente y San Lorenzo al minuto 54'
Sarmiento,Boca Juniors,2024-02-17,La Bombonera,Penal,74',Sí,Amarilla,Tello,penal entre Sarmiento y Boca Juniors al minuto 74'
Argentinos,Rosario Central,2024-12-05,Cilindro,Simulación,9',Sí,Roja,Abal,simulación entre Argentinos y Rosario Central al minuto 9'
Racing,Colón,2024-05-25,La Bombonera,Offside,21',Sí,Roja,Abal,offside entre Racing y Colón al minuto 21'
Racing,Independiente,2024-09-19,Libertadores de América,Offside,53',Sí,Roja,Tello,offside entre Racing y Independiente al minuto 53'
Rosario Central,Platense,2024-02-28,La Bombonera,Córner,45',Sí,Amarilla,Rapallini,córner entre Rosario Central y Platense al minuto 45'
Boca Juniors,Racing,2024-03-18,Libertadores de América,Offside,3',Sí,Sin falta,Rapallini,offside entre Boca Juniors y Racing al minuto 3'
Boca Juniors,Argentinos,2024-03-05,Cilindro,Codazo,51',Sí,Gol,Echenique,codazo entre Boca Juniors y Argentinos al minuto 51'
Gimnasia,Vélez,2024-02-07,La Bombonera,Mano,85',Sí,Tiro libre,Pitana,mano entre Gimnasia y Vélez al minuto 85'
Arsenal,San Lorenzo,2024-06-03,La Bombonera,Gol,24',Sí,No gol,Abal,gol entre Arsenal y San Lorenzo al minuto 24'
Banfield,River Plate,2024-05-01,Libertadores de América,Codazo,28',Sí,No gol,Espinoza,codazo entre Banfield y River Plate al minuto 28'
San Lorenzo,Arsenal,2024-10-09,Nuevo Gasómetro,Gol,59',Sí,Penal,Tello,gol entre San Lorenzo y Arsenal al minuto 59'
Sarmiento,Godoy Cruz,2024-04-09,La Bombonera,Penal,11',Sí,No gol,Espinoza,penal entre Sarmiento y Godoy Cruz al minuto 11'
Colón,Huracán,2024-05-21,Cilindro,Simulación,75',Sí,Penal,Rapallini,simulación entre Colón y Huracán al minuto 75'
San Lorenzo,Vélez,2024-10-15,La Bombonera,Entrada violenta,40',Sí,Penal,Dovalo,entrada violenta entre San Lorenzo y Vélez al minuto 40'
Lanús,Newell's,2024-04-09,Monumental,Simulación,1',Sí,Penal,Tello,simulación entre Lanús y Newell's al minuto 1'
San Lorenzo,Platense,2024-06-06,La Bombonera,Sujeción,67',Sí,Amarilla,Rapallini,sujeción entre San Lorenzo y Platense al minuto 67'
Vélez,Boca Juniors,2024-05-15,Nuevo Gasómetro,Sujeción,16',Sí,Roja,Abal,sujeción entre Vélez y Boca Juniors al minuto 16'
River Plate,Estudiantes,2024-10-08,Nuevo Gasómetro,Offside,80',Sí,No gol,Echenique,offside entre River Plate y Estudiantes al minuto 80'
Independiente,Vélez,2024-03-15,Libertadores de América,Sujeción,71',Sí,Amarilla,Abal,sujeción entre Independiente y Vélez al minuto 71'
Sarmiento,Arsenal,2024-12-18,Monumental,Sujeción,43',Sí,Tiro libre,Dovalo,sujeción entre Sarmiento y Arsenal al minuto 43'
Boca Juniors,Vélez,2024-07-17,La Bombonera,Mano,56',Sí,Amarilla,Pitana,mano entre Boca Juniors y Vélez al minuto 56'
Huracán,Banfield,2024-02-08,Cilindro,Offside,13',Sí,Penal,Abal,offside entre Huracán y Banfield al minuto 13'
Colón,Arsenal,2024-06-20,Libertadores de América,Offside,74',Sí,Roja,Tello,offside entre Colón y Arsenal al minuto 74'
Racing,Boca Juniors,2024-06-18,Libertadores de América,Falta,89',Sí,Penal,Echenique,falta entre Racing y Boca Juniors al minuto 89'
Newell's,Talleres,2024-10-21,Cilindro,Codazo,69',Sí,No gol,Echenique,codazo entre Newell's y Talleres al minuto 69'
Estudiantes,Lanús,2024-07-11,Cilindro,Codazo,82',Sí,Gol,Loustau,codazo entre Estudiantes y Lanús al minuto 82'
Newell's,Estudiantes,2024-04-16,Nuevo Gasómetro,Gol,76',Sí,Sin falta,Baliño,gol entre Newell's y Estudiantes al minuto 76'
Lanús,Godoy Cruz,2024-12-16,Libertadores de América,Offside,72',Sí,Tiro libre,Espinoza,offside entre Lanús y Godoy Cruz al minuto 72'
Racing,Huracán,2024-10-03,Nuevo Gasómetro,Córner,61',Sí,Tiro libre,Tello,córner entre Racing y Huracán al minuto 61'
Sarmiento,Huracán,2024-06-10,Nuevo Gasómetro,Mano,40',Sí,Roja,Pitana,mano entre Sarmiento y Huracán al minuto 40'
Gimnasia,Newell's,2024-04-20,Libertadores de América,Entrada violenta,27',Sí,Tiro libre,Rapallini,entrada violenta entre Gimnasia y Newell's al minuto 27'
Huracán,Estudiantes,2024-12-26,La Bombonera,Falta,55',Sí,Roja,Echenique,falta entre Huracán y Estudiantes al minuto 55'
Rosario Central,River Plate,2024-01-02,Nuevo Gasómetro,Simulación,85',Sí,Sin falta,Dovalo,simulación entre Rosario Central y River Plate al minuto 85'
Banfield,Rosario Central,2024-01-21,Libertadores de América,Codazo,31',Sí,Tiro libre,Merlos,codazo entre Banfield y Rosario Central al minuto 31'
Argentinos,Sarmiento,2024-09-16,Libertadores de América,Codazo,5',Sí,Roja,Rapallini,codazo entre Argentinos y Sarmiento al minuto 5'
Arsenal,Rosario Central,2024-01-14,Monumental,Mano,32',Sí,Penal,Espinoza,mano entre Arsenal y Rosario Central al minuto 32'
Talleres,Vélez,2024-06-14,Monumental,Simulación,21',Sí,Gol,Espinoza,simulación entre Talleres y Vélez al minuto 21'
Talleres,Independiente,2024-02-11,Libertadores de América,Gol,38',Sí,Gol,Dovalo,gol entre Talleres y Independiente al minuto 38'
San Lorenzo,Talleres,2024-11-27,La Bombonera,Sujeción,32',Sí,Penal,Pitana,sujeción entre San Lorenzo y Talleres al minuto 32'
Sarmiento,Boca Juniors,2024-08-11,Monumental,Gol,14',Sí,Amarilla,Loustau,gol entre Sarmiento y Boca Juniors al minuto 14'
Banfield,Colón,2024-03-25,Monumental,Codazo,85',Sí,Penal,Merlos,codazo entre Banfield y Colón al minuto 85'
Arsenal,Newell's,2024-06-12,Nuevo Gasómetro,Offside,37',Sí,Tiro libre,Espinoza,offside entre Arsenal y Newell's al minuto 37'
Platense,Argentinos,2024-01-22,Monumental,Mano,13',Sí,Tiro libre,Abal,mano entre Platense y Argentinos al minuto 13'
Gimnasia,Lanús,2024-05-22,Monumental,Simulación,86',Sí,Tiro libre,Dovalo,simulación entre Gimnasia y Lanús al minuto 86'
Sarmiento,Independiente,2024-07-06,Libertadores de América,Mano,31',Sí,Amarilla,Pitana,mano entre Sarmiento y Independiente al minuto 31'
Rosario Central,Lanús,2024-02-23,Nuevo Gasómetro,Offside,57',Sí,Roja,Dovalo,offside entre Rosario Central y Lanús al minuto 57'
Argentinos,San Lorenzo,2024-09-14,Libertadores de América,Codazo,66',Sí,Gol,Tello,codazo entre Argentinos y San Lorenzo al minuto 66'
San Lorenzo,Arsenal,2024-02-09,Nuevo Gasómetro,Offside,47',Sí,Roja,Loustau,offside entre San Lorenzo y Arsenal al minuto 47'
Independiente,Gimnasia,2024-11-18,Nuevo Gasómetro,Falta,55',Sí,Tiro libre,Dovalo,falta entre Independiente y Gimnasia al minuto 55'
Estudiantes,Boca Juniors,2024-10-16,Monumental,Simulación,5',Sí,Tiro libre,Tello,simulación entre Estudiantes y Boca Juniors al minuto 5'
San Lorenzo,Platense,2024-12-16,Nuevo Gasómetro,Penal,80',Sí,Penal,Echenique,penal entre San Lorenzo y Platense al minuto 80'
River Plate,Colón,2024-07-01,Monumental,Falta,73',Sí,No gol,Pitana,falta entre River Plate y Colón al minuto 73'
Estudiantes,Independiente,2024-07-07,La Bombonera,Mano,2',Sí,Amarilla,Baliño,mano entre Estudiantes y Independiente al minuto 2'
Talleres,Gimnasia,2024-10-08,La Bombonera,Simulación,25',Sí,Penal,Espinoza,simulación entre Talleres y Gimnasia al minuto 25'
Banfield,Sarmiento,2024-12-06,La Bombonera,Entrada violenta,45',Sí,Sin falta,Dovalo,entrada violenta entre Banfield y Sarmiento al minuto 45'
Colón,San Lorenzo,2024-02-21,Cilindro,Codazo,83',Sí,Penal,Tello,codazo entre Colón y San Lorenzo al minuto 83'
River Plate,Platense,2024-11-06,Cilindro,Sujeción,49',Sí,Penal,Pitana,sujeción entre River Plate y Platense al minuto 49'
Newell's,Argentinos,2024-11-19,Libertadores de América,Sujeción,79',Sí,Amarilla,Espinoza,sujeción entre Newell's y Argentinos al minuto 79'
Huracán,Platense,2024-11-02,Cilindro,Gol,56',Sí,Sin falta,Pitana,gol entre Huracán y Platense al minuto 56'
Argentinos,Platense,2024-07-06,La Bombonera,Codazo,79',Sí,Tiro libre,Abal,codazo entre Argentinos y Platense al minuto 79'
Newell's,Banfield,2024-01-09,Cilindro,Falta,26',Sí,Gol,Tello,falta entre Newell's y Banfield al minuto 26'
San Lorenzo,Huracán,2024-03-26,Libertadores de América,Entrada violenta,34',Sí,Roja,Merlos,entrada violenta entre San Lorenzo y Huracán al minuto 34'
Estudiantes,Rosario Central,2024-11-09,Nuevo Gasómetro,Sujeción,62',Sí,Penal,Rapallini,sujeción entre Estudiantes y Rosario Central al minuto 62'
Colón,Sarmiento,2024-06-28,Libertadores de América,Córner,86',Sí,Sin falta,Tello,córner entre Colón y Sarmiento al minuto 86'
Independiente,Banfield,2024-11-12,La Bombonera,Penal,50',Sí,Amarilla,Baliño,penal entre Independiente y Banfield al minuto 50'
Lanús,Arsenal,2024-03-06,La Bombonera,Simulación,48',Sí,Tiro libre,Baliño,simulación entre Lanús y Arsenal al minuto 48'
Estudiantes,Banfield,2024-11-11,Nuevo Gasómetro,Penal,8',Sí,Tiro libre,Echenique,penal entre Estudiantes y Banfield al minuto 8'
River Plate,Independiente,2024-08-19,Cilindro,Córner,43',Sí,Sin falta,Espinoza,córner entre River Plate y Independiente al minuto 43'
Newell's,Boca Juniors,2024-10-16,La Bombonera,Córner,24',Sí,Tiro libre,Dovalo,córner entre Newell's y Boca Juniors al minuto 24'
River Plate,Banfield,2024-10-20,La Bombonera,Falta,51',Sí,No gol,Dovalo,falta entre River Plate y Banfield al minuto 51'
Banfield,River Plate,2024-06-16,Libertadores de América,Gol,19',Sí,Amarilla,Loustau,gol entre Banfield y River Plate al minuto 19'
Boca Juniors,Rosario Central,2024-06-19,La Bombonera,Offside,34',Sí,Gol,Dovalo,offside entre Boca Juniors y Rosario Central al minuto 34'
Rosario Central,Boca Juniors,2024-04-15,Cilindro,Sujeción,57',Sí,Amarilla,Loustau,sujeción entre Rosario Central y Boca Juniors al minuto 57'
Newell's,River Plate,2024-10-07,Monumental,Gol,38',Sí,Penal,Merlos,gol entre Newell's y River Plate al minuto 38'
Estudiantes,Huracán,2024-08-14,Monumental,Codazo,85',Sí,Penal,Rapallini,codazo entre Estudiantes y Huracán al minuto 85'
Argentinos,Banfield,2024-04-21,La Bombonera,Offside,39',Sí,Penal,Rapallini,offside entre Argentinos y Banfield al minuto 39'
Lanús,Argentinos,2024-01-02,Libertadores de América,Falta,46',Sí,Gol,Pitana,falta entre Lanús y Argentinos al minuto 46'
Sarmiento,Newell's,2024-06-20,Cilindro,Penal,61',Sí,Gol,Loustau,penal entre Sarmiento y Newell's al minuto 61'
Lanús,Sarmiento,2024-02-05,La Bombonera,Gol,11',Sí,Tiro libre,Loustau,gol entre Lanús y Sarmiento al minuto 11'
San Lorenzo,Boca Juniors,2024-04-25,Libertadores de América,Gol,6',Sí,No gol,Loustau,gol entre San Lorenzo y Boca Juniors al minuto 6'
Gimnasia,River Plate,2024-08-22,La Bombonera,Penal,20',Sí,Tiro libre,Echenique,penal entre Gimnasia y River Plate al minuto 20'
Gimnasia,Banfield,2024-09-22,Cilindro,Simulación,57',Sí,No gol,Espinoza,simulación entre Gimnasia y Banfield al minuto 57'
Lanús,Godoy Cruz,2024-11-05,Cilindro,Simulación,87',Sí,Roja,Merlos,simulación entre Lanús y Godoy Cruz al minuto 87'
Newell's,Argentinos,2024-05-25,La Bombonera,Codazo,59',Sí,Tiro libre,Dovalo,codazo entre Newell's y Argentinos al minuto 59'
River Plate,Talleres,2024-11-25,Cilindro,Simulación,89',Sí,Roja,Pitana,simulación entre River Plate y Talleres al minuto 89'
Godoy Cruz,Vélez,2024-09-06,Libertadores de América,Córner,25',Sí,Penal,Abal,córner entre Godoy Cruz y Vélez al minuto 25'
Platense,Vélez,2024-03-13,Nuevo Gasómetro,Penal,72',Sí,Gol,Pitana,penal entre Platense y Vélez al minuto 72'
Platense,Arsenal,2024-07-13,Cilindro,Córner,9',Sí,Roja,Dovalo,córner entre Platense y Arsenal al minuto 9'
Sarmiento,River Plate,2024-08-19,La Bombonera,Córner,14',Sí,Gol,Tello,córner entre Sarmiento y River Plate al minuto 14'
Estudiantes,Boca Juniors,2024-02-05,Libertadores de América,Simulación,38',Sí,No gol,Pitana,simulación entre Estudiantes y Boca Juniors al minuto 38'
Estudiantes,Colón,2024-01-12,Cilindro,Córner,52',Sí,No gol,Loustau,córner entre Estudiantes y Colón al minuto 52'
River Plate,Platense,2024-02-07,Cilindro,Mano,49',Sí,Gol,Echenique,mano entre River Plate y Platense al minuto 49'
Newell's,Lanús,2024-03-26,Monumental,Entrada violenta,77',Sí,Tiro libre,Espinoza,entrada violenta entre Newell's y Lanús al minuto 77'
Talleres,Banfield,2024-11-06,Cilindro,Penal,73',Sí,Gol,Baliño,penal entre Talleres y Banfield al minuto 73'
Platense,River Plate,2024-02-16,Libertadores de América,Penal,82',Sí,Penal,Merlos,penal entre Platense y River Plate al minuto 82'
Estudiantes,Sarmiento,2024-12-24,Nuevo Gasómetro,Entrada violenta,51',Sí,Penal,Rapallini,entrada violenta entre Estudiantes y Sarmiento al minuto 51'
Argentinos,Independiente,2024-06-21,Libertadores de América,Offside,63',Sí,Penal,Espinoza,offside entre Argentinos y Independiente al minuto 63'
Platense,Huracán,2024-10-16,Monumental,Mano,17',Sí,Gol,Pitana,mano entre Platense y Huracán al minuto 17'
San Lorenzo,Newell's,2024-05-09,Nuevo Gasómetro,Mano,20',Sí,Sin falta,Loustau,mano entre San Lorenzo y Newell's al minuto 20'
Huracán,Rosario Central,2024-07-21,Monumental,Offside,8',Sí,Gol,Echenique,offside entre Huracán y Rosario Central al minuto 8'
San Lorenzo,Platense,2024-07-17,Monumental,Falta,4',Sí,Roja,Merlos,falta entre San Lorenzo y Platense al minuto 4'
Platense,Arsenal,2024-02-18,La Bombonera,Simulación,67',Sí,No gol,Pitana,simulación entre Platense y Arsenal al minuto 67'
River Plate,Independiente,2024-07-03,Cilindro,Córner,66',Sí,No gol,Loustau,córner entre River Plate y Independiente al minuto 66'
Gimnasia,Rosario Central,2024-05-10,Monumental,Córner,21',Sí,No gol,Merlos,córner entre Gimnasia y Rosario Central al minuto 21'
Sarmiento,Argentinos,2024-07-11,Libertadores de América,Córner,13',Sí,Gol,Merlos,córner entre Sarmiento y Argentinos al minuto 13'
Racing,Sarmiento,2024-02-08,Cilindro,Codazo,80',Sí,Gol,Echenique,codazo entre Racing y Sarmiento al minuto 80'
Vélez,Independiente,2024-02-11,Nuevo Gasómetro,Gol,59',Sí,Roja,Baliño,gol entre Vélez y Independiente al minuto 59'
Independiente,Vélez,2024-07-15,Cilindro,Mano,62',Sí,No gol,Echenique,mano entre Independiente y Vélez al minuto 62'
Argentinos,Estudiantes,2024-02-22,Nuevo Gasómetro,Penal,46',Sí,Penal,Echenique,penal entre Argentinos y Estudiantes al minuto 46'
Platense,Colón,2024-09-04,Monumental,Sujeción,5',Sí,Penal,Rapallini,sujeción entre Platense y Colón al minuto 5'
Arsenal,Racing,2024-06-23,Monumental,Penal,36',Sí,Amarilla,Abal,penal entre Arsenal y Racing al minuto 36'
Platense,Argentinos,2024-10-03,Monumental,Codazo,34',Sí,Tiro libre,Pitana,codazo entre Platense y Argentinos al minuto 34'
Platense,Sarmiento,2024-07-03,Monumental,Simulación,85',Sí,Roja,Rapallini,simulación entre Platense y Sarmiento al minuto 85'
Sarmiento,Colón,2024-10-11,Cilindro,Mano,81',Sí,No gol,Baliño,mano entre Sarmiento y Colón al minuto 81'
Lanús,Banfield,2024-12-24,La Bombonera,Entrada violenta,34',Sí,No gol,Pitana,entrada violenta entre Lanús y Banfield al minuto 34'
Talleres,Racing,2024-02-15,La Bombonera,Entrada violenta,4',Sí,No gol,Baliño,entrada violenta entre Talleres y Racing al minuto 4'
Sarmiento,Godoy Cruz,2024-12-02,La Bombonera,Gol,78',Sí,Tiro libre,Pitana,gol entre Sarmiento y Godoy Cruz al minuto 78'
River Plate,Huracán,2024-05-09,Monumental,Gol,7',Sí,Penal,Dovalo,gol entre River Plate y Huracán al minuto 7'
Huracán,Talleres,2024-06-16,Monumental,Mano,46',Sí,Sin falta,Pitana,mano entre Huracán y Talleres al minuto 46'
Boca Juniors,Platense,2024-03-03,Cilindro,Falta,57',Sí,Amarilla,Baliño,falta entre Boca Juniors y Platense al minuto 57'
San Lorenzo,Huracán,2024-01-14,Nuevo Gasómetro,Falta,9',Sí,Tiro libre,Abal,falta entre San Lorenzo y Huracán al minuto 9'
Godoy Cruz,Talleres,2024-03-15,La Bombonera,Gol,11',Sí,Gol,Dovalo,gol entre Godoy Cruz y Talleres al minuto 11'
Independiente,Lanús,2024-07-02,Monumental,Offside,25',Sí,Gol,Loustau,offside entre Independiente y Lanús al minuto 25'
Gimnasia,Platense,2024-06-23,Nuevo Gasómetro,Córner,20',Sí,Sin falta,Dovalo,córner entre Gimnasia y Platense al minuto 20'
Racing,Lanús,2024-08-20,Nuevo Gasómetro,Córner,13',Sí,No gol,Baliño,córner entre Racing y Lanús al minuto 13'
Gimnasia,Vélez,2024-05-13,Monumental,Sujeción,16',Sí,No gol,Baliño,sujeción entre Gimnasia y Vélez al minuto 16'
Racing,San Lorenzo,2024-03-17,Cilindro,Córner,16',Sí,Tiro libre,Pitana,córner entre Racing y San Lorenzo al minuto 16'
